年季,股本,資本公積,保留盈餘
2020/09/30,1500000000.0,11000.0,689269000.0
2020/06/30,1500000000.0,11000.0,556239000.0
2020/03/31,1500000000.0,11000.0,749241000.0
2019/12/31,1500000000.0,11000.0,694939000.0
2019/09/30,1500000000.0,11000.0,618037000.0
2019/06/30,1500000000.0,11000.0,547412000.0
2019/03/31,1500000000.0,11000.0,709731000.0
2018/12/31,1500000000.0,11000.0,650821000.0
2018/09/30,1500000000.0,11000.0,603451000.0
2018/06/30,1500000000.0,11000.0,517912000.0
2018/03/31,1500000000.0,11000.0,681259000.0
2017/12/31,1500000000.0,11000.0,601082000.0
2017/09/30,1500000000.0,11000.0,555152000.0
2017/06/30,1500000000.0,11000.0,478801000.0
2017/03/31,1500000000.0,11000.0,578063000.0
2016/12/31,1500000000.0,11000.0,527232000.0
2016/09/30,1500000000.0,11000.0,484418000.0
2016/06/30,1500000000.0,11000.0,428818000.0
2016/03/31,1500000000.0,11000.0,551971000.0
2015/12/31,1500000000.0,11000.0,503463000.0
2015/09/30,1500000000.0,11000.0,510874000.0
2015/06/30,1500000000.0,11000.0,449027000.0
2015/03/31,1500000000.0,11000.0,545835000.0
2014/12/31,1500000000.0,11000.0,489705000.0
2014/09/30,1500000000.0,11000.0,467951000.0
2014/06/30,1500000000.0,11000.0,414247000.0
2014/03/31,1500000000.0,11000.0,495873000.0
2013/12/31,1500000000.0,11000.0,456308000.0
2013/09/30,1500000000.0,11000.0,427962000.0
2013/06/30,1500000000.0,11000.0,369654000.0
2013/03/31,1500000000.0,11000.0,440068000.0
